Wavelength(Microns),Refractive Index,Extinction Coefficient,
7.9433,1.46046601732,0.0758781385281j,
8.0662,1.45275151515,0.0756121212121j,
8.1909,1.44492402597,0.0753422077922j,
8.3176,1.43697099567,0.075067965368j,
8.4463,1.43539877049,0.0843711065574j,
8.577,1.43593442623,0.0969590163934j,
8.7096,1.43647786885,0.109729918033j,
8.8444,1.43736062378,0.121711500975j,
8.9812,1.44402729045,0.116378167641j,
9.1201,1.4507962963,0.110962962963j,
9.2612,1.45767251462,0.105461988304j,
9.4045,1.456579566,0.101113019892j,
9.5499,1.44211844485,0.0987466546112j,
9.6976,1.42742857143,0.0963428571429j,
9.8477,1.4125,0.0939j,
10.0,1.39943500867,0.101405545927j,
10.155,1.38734662045,0.114837088388j,
10.312,1.37510225303,0.128441941075j,
10.471,1.36270190641,0.142220103986j,
10.633,1.36491428571,0.164371428571j,
10.798,1.36805714286,0.187419047619j,
10.965,1.37123809524,0.210746031746j,
11.134,1.37445714286,0.234352380952j,
11.307,1.37775238095,0.258517460317j,
11.481,1.38106666667,0.282822222222j,
11.659,1.38445714286,0.307685714286j,
11.84,1.3975942029,0.326246376812j,
12.023,1.4188115942,0.339507246377j,
12.209,1.44037681159,0.352985507246j,
12.398,1.46228985507,0.36668115942j,
12.589,1.48560273973,0.372702739726j,
12.784,1.50964383562,0.377243835616j,
12.982,1.53405479452,0.381854794521j,
13.183,1.55835974026,0.385253246753j,
13.387,1.57928961039,0.37862987013j,
13.594,1.60052727273,0.371909090909j,
13.804,1.62207272727,0.365090909091j,
14.017,1.64112222222,0.356381481481j,
14.234,1.65639259259,0.344861728395j,
14.454,1.67187407407,0.333182716049j,
14.678,1.68763703704,0.321291358025j,
14.905,1.69833139535,0.308598837209j,
15.136,1.70719534884,0.295437209302j,
15.37,1.7161744186,0.282104651163j,
15.608,1.72507826087,0.268530434783j,
15.849,1.72743586957,0.254384782609j,
16.094,1.7298326087,0.240004347826j,
16.343,1.73226847826,0.225389130435j,
16.596,1.73368333333,0.212783333333j,
16.853,1.7326125,0.2052875j,
17.113,1.73152916667,0.197704166667j,
17.378,1.730425,0.189975j,
17.647,1.72918932039,0.183433009709j,
17.92,1.72786407767,0.177601941748j,
18.197,1.72651941748,0.171685436893j,
18.479,1.72515048544,0.165662135922j,
18.764,1.72594074074,0.158885185185j,
19.055,1.72701851852,0.15187962963j,
19.349,1.72810740741,0.144801851852j,
19.649,1.7285,0.13765j,
19.953,1.72592372881,0.130694067797j,
20.261,1.72331355932,0.123646610169j,
20.575,1.72065254237,0.116461864407j,
20.893,1.71795762712,0.10918559322j,
21.216,1.71522033898,0.101794915254j,
21.544,1.71244067797,0.0942898305085j,
21.878,1.70961016949,0.0866474576271j,
22.216,1.70384496124,0.082319379845j,
22.56,1.69717829457,0.0788527131783j,
22.909,1.69041472868,0.0753356589147j,
23.263,1.68357407407,0.0718807407407j,
23.623,1.67690740741,0.0700140740741j,
23.988,1.67014814815,0.0681214814815j,
24.359,1.66327777778,0.0661977777778j,
24.736,1.65658344828,0.0644965517241j,
25.119,1.65024413793,0.063175862069j,
25.507,1.64382206897,0.0618379310345j,
25.902,1.63728413793,0.060475862069j,
26.303,1.63032828947,0.0593078947368j,
26.71,1.62309868421,0.0582368421053j,
27.123,1.6157625,0.05715j,
27.542,1.60831973684,0.0560473684211j,
27.968,1.60065093168,0.0575204968944j,
28.401,1.5928515528,0.0591341614907j,
28.84,1.58494409938,0.0607701863354j,
29.286,1.57669356725,0.0634923976608j,
29.74,1.56766666667,0.0693333333333j,
30.199,1.55854035088,0.0752385964912j,
30.667,1.54923508772,0.0812596491228j,
31.141,1.54035687332,0.0890652291105j,
31.623,1.53178221024,0.0984194070081j,
32.112,1.52308301887,0.107909433962j,
32.609,1.51424150943,0.117554716981j,
33.113,1.5052754717,0.127335849057j,
33.625,1.4961671159,0.137272237197j,
34.146,1.48689865229,0.14738328841j,
34.674,1.47780588235,0.158635294118j,
35.21,1.47018627451,0.175450980392j,
35.755,1.46243872549,0.192549019608j,
36.308,1.45457745098,0.209898039216j,
36.869,1.44978321995,0.228617006803j,
37.44,1.44926530612,0.249204081633j,
38.019,1.44874013605,0.270079591837j,
38.607,1.44820680272,0.291279591837j,
39.204,1.44766530612,0.312804081633j,
39.811,1.44711473923,0.334689115646j,
40.427,1.44655600907,0.356898639456j,
41.052,1.446485,0.37959j,
41.687,1.47214958333,0.410810833333j,
42.332,1.49821833333,0.442523333333j,
42.987,1.52469125,0.4747275j,
43.652,1.55263636364,0.504792885375j,
44.327,1.58331818182,0.52960513834j,
45.013,1.6145,0.55482173913j,
45.709,1.64613636364,0.580405928854j,
46.416,1.68202804428,0.582594095941j,
47.134,1.7207099631,0.570671586716j,
47.863,1.75998450185,0.558566420664j,
48.603,1.79985166052,0.546278597786j,
49.355,1.82379681979,0.525918727915j,
50.119,1.84620388693,0.50432155477j,
50.894,1.8689335689,0.482413427562j,
51.681,1.8879089701,0.459546179402j,
52.481,1.89216146179,0.434031229236j,
53.293,1.89647774086,0.408133554817j,
54.117,1.90085780731,0.381853156146j,
54.954,1.8981175,0.365066875j,
55.804,1.888555,0.35736375j,
56.667,1.87884625,0.3495428125j,
57.544,1.86898,0.341595j,
58.434,1.86657751479,0.344013609467j,
59.338,1.86604260355,0.349095266272j,
60.256,1.86549940828,0.354255621302j,
61.188,1.86619844358,0.359445136187j,
62.135,1.87909533074,0.36423540856j,
63.096,1.89218287938,0.369096498054j,
64.072,1.90369269311,0.371160751566j,
65.063,1.91279582463,0.369091858038j,
66.069,1.92203674322,0.366991649269j,
67.091,1.93142463466,0.364858037578j,
68.129,1.94095949896,0.362691022965j,
69.183,1.950507,0.356939j,
70.253,1.960137,0.349449j,
71.34,1.96992,0.34184j,
72.444,1.979856,0.334112j,
73.564,1.98518309859,0.327261971831j,
74.702,1.9905258216,0.320316431925j,
75.858,1.99595305164,0.313261032864j,
77.031,2.00132192394,0.30612147651j,
78.223,2.0063885906,0.29892147651j,
79.433,2.01153176734,0.291612751678j,
80.662,2.0167557047,0.284189261745j,
81.909,2.02200208768,0.276797077244j,
83.176,2.02729227557,0.269390814196j,
84.463,2.03266597077,0.261867640919j,
85.77,2.03812317328,0.254227557411j,
87.096,2.04303373494,0.246053012048j,
88.444,2.0479060241,0.23766184739j,
89.812,2.05285060241,0.229146184739j,
91.201,2.05708975791,0.220115083799j,
92.612,2.05761527002,0.209079329609j,
94.045,2.05814897579,0.19787150838j,
95.499,2.05869050279,0.186499441341j,
96.977,2.05854356261,0.175777954145j,
98.477,2.05748536155,0.165989594356j,
100.0,2.05641093474,0.156051146384j,
101.55,2.05531746032,0.145936507937j,
103.12,2.05120338983,0.138444067797j,
104.71,2.04581355932,0.131976271186j,
106.33,2.0403220339,0.125386440678j,
107.98,2.0347875,0.1188375j,
109.65,2.0303515625,0.1154453125j,
111.34,2.0258625,0.1120125j,
113.07,2.0212671875,0.1084984375j,
114.82,2.01691343284,0.105534328358j,
116.59,2.01321492537,0.103949253731j,
118.39,2.00945373134,0.102337313433j,
120.23,2.00560895522,0.100689552239j,
122.09,2.00309793103,0.099624137931j,
123.97,2.00154206897,0.098975862069j,
125.89,1.99995310345,0.0983137931034j,
127.84,1.99833931034,0.0976413793103j,
129.82,1.99670068966,0.0969586206897j,
131.83,1.99503724138,0.0962655172414j,
133.87,1.99334896552,0.0955620689655j,
135.94,1.99188860759,0.0949443037975j,
138.04,1.99135696203,0.0946784810127j,
140.17,1.99081772152,0.0944088607595j,
142.34,1.99026835443,0.0941341772152j,
144.54,1.99,0.0936705202312j,
146.78,1.99,0.0930231213873j,
149.05,1.99,0.0923670520231j,
151.36,1.99,0.0916994219653j,
153.7,1.99,0.0910231213873j,
156.07,1.99,0.090338150289j,
158.49,1.99,0.0896387283237j,
160.94,1.99,0.0889489361702j,
163.43,1.99,0.0884191489362j,
165.96,1.99,0.0878808510638j,
168.53,1.99,0.0873340425532j,
171.13,1.99,0.0866985365854j,
173.78,1.99,0.0859229268293j,
176.47,1.99,0.0851356097561j,
179.2,1.99,0.0843365853659j,
181.97,1.99,0.0835258536585j,
184.79,1.99,0.0827004878049j,
187.64,1.99,0.0818663414634j,
190.55,1.99,0.0810146341463j,
193.49,1.99012620087,0.0803689956332j,
196.49,1.99025720524,0.0797139737991j,
199.53,1.99038995633,0.0790502183406j,
202.61,1.99052445415,0.0783777292576j,
205.75,1.99066157205,0.077692139738j,
208.93,1.99080043668,0.0769978165939j,
212.16,1.99094148472,0.0762925764192j,
215.44,1.9912255814,0.0755488372093j,
218.78,1.99161395349,0.0747720930233j,
222.16,1.99200697674,0.0739860465116j,
