WAV(Microns),K(Extinction Coefficient),N(Refractive Index),
6.0256,0.0521763478261,1.52763130435,
6.1188,0.0530545915493,1.51982225352,
6.2135,0.0539080985915,1.51175211268,
6.3096,0.0546569863014,1.50323561644,
6.4072,0.0553006216216,1.49404540541,
6.5063,0.0558498243243,1.48407013514,
6.6069,0.0563195526316,1.47331078947,
6.7091,0.0566936153846,1.46108769231,
6.8129,0.0569797307692,1.44778,
6.9183,0.057281125,1.43285275,
7.0253,0.0577653703704,1.41564888889,
7.134,0.0585995121951,1.39617073171,
7.2444,0.0605315238095,1.37360714286,
7.3564,0.0642831529412,1.34684941176,
7.4702,0.0711369302326,1.31637023256,
7.5858,0.0824687356322,1.28255954023,
7.7031,0.101201909091,1.24614170455,
7.8223,0.127039,1.207569,
7.9433,0.160702391304,1.17021945652,
8.0662,0.20424516129,1.13892387097,
8.1909,0.255868191489,1.11479287234,
8.3176,0.31032875,1.09907320833,
8.4463,0.35882185567,1.09312165979,
8.577,0.403233333333,1.0848,
8.7096,0.451152,1.07203104,
8.8444,0.511465825243,1.06010943689,
8.9812,0.581780970874,1.05683497087,
9.1201,0.659454811321,1.06775991509,
9.2612,0.735297383178,1.09896588785,
9.4045,0.802980555556,1.14495601852,
9.5499,0.857864311927,1.20096045872,
9.6976,0.894921081081,1.25948162162,
9.8477,0.922216666667,1.31273412281,
10.0,0.9466,1.3598,
10.155,0.974940909091,1.40418636364,
10.312,1.00743166667,1.45838833333,
10.471,1.03205,1.52435416667,
10.633,1.03667692308,1.59523615385,
10.798,1.02815,1.657315,
10.965,1.01565384615,1.71263846154,
11.134,1.00297230769,1.76129230769,
11.307,0.984994615385,1.80898769231,
11.481,0.96339,1.85142923077,
11.659,0.943495,1.891955,
11.84,0.919592857143,1.93306428571,
12.023,0.88534,1.97350142857,
12.209,0.845155,2.00256,
12.398,0.808010666667,2.02510666667,
12.589,0.767917857143,2.04589285714,
12.784,0.722705714286,2.05757142857,
12.982,0.675652,2.06168,
13.183,0.632098125,2.0578875,
13.387,0.590698666667,2.04855333333,
13.594,0.548655,2.0293,
13.804,0.509475,1.9983575,
14.017,0.484238823529,1.95836882353,
14.234,0.470575,1.914985,
14.454,0.468527058824,1.87051058824,
14.678,0.477177647059,1.83282470588,
14.905,0.491479411765,1.79987647059,
15.136,0.507813333333,1.77206444444,
15.37,0.528433333333,1.7451,
15.608,0.551693333333,1.72247666667,
15.849,0.578088333333,1.70277944444,
16.094,0.607112631579,1.68535894737,
16.343,0.637960526316,1.67157947368,
16.596,0.672150526316,1.66174105263,
16.853,0.708286842105,1.65580578947,
17.113,0.7440215,1.6528685,
17.378,0.781909,1.654282,
17.647,0.8214485,1.660911,
17.92,0.859333333333,1.6711,
18.197,0.895608571429,1.68504,
18.479,0.933302857143,1.70558428571,
18.764,0.968390909091,1.72983272727,
19.055,0.999630434783,1.75748478261,
19.349,1.02464545455,1.78704681818,
19.649,1.04783636364,1.82201545455,
19.953,1.06710434783,1.85903521739,
20.261,1.07635,1.8920275,
20.575,1.0837173913,1.92027608696,
