Number,      cntr_01,       dist_x,       pang_x,        ra_01,       dec_01,          designation,ra,dec,    sigra,   sigdec,  sigradec,  w1mpro, w1sigmpro,    w1snr,   w1rchi2,  w2mpro, w2sigmpro,    w2snr,   w2rchi2,  w3mpro, w3sigmpro,    w3snr,   w3rchi2,  w4mpro, w4sigmpro,    w4snr,   w4rchi2,   nb,   na,  w1sat,  w2sat,  w3sat,  w4sat,     pmra,  sigpmra,    pmdec, sigpmdec, cc_flags, ext_flg, var_flg, ph_qual, moon_lev,   w1nm,    w1m,   w2nm,    w2m,   w3nm,    w3m,   w4nm,    w4m
270,5.50715,-101.564616,172.96054,81,J113148.23,805958.8,172.9509599,80.9996932,0.0945,0.093,0.0261,15.681,0.037,29.1,1.08E+00,15.406,0.072,15,1.12E+00,12.566,null,0.8,9.50E-01,9.306,null,-0.7,9.67E-01,1,0,0.001,0.001,0,0,-238,286,140,275,0,0,0nnn,AAUU,0,51,51,20,51,0,22,0,22
270,8.766308,-18.73697,172.96054,81,J113149.32,810008.3,172.9555385,81.002306,0.4774,0.4842,-0.1069,17.598,0.147,7.4,1.09E+00,17.358,0.408,2.7,1.07E+00,12.518,null,0.8,9.89E-01,9.048,null,-0.5,9.26E-01,1,0,0.001,0,0,0,415,2317,932,2397,0,0,nnnn,BCUU,0,1,51,1,51,0,22,0,22
275,9.835769,-161.720878,52.077833,48,J032818.37,475950.6,52.0765524,47.9974057,0.0387,0.0362,0.0085,10.139,0.024,45.2,8.07E-01,10.139,0.02,54.7,7.93E-01,10.078,0.062,17.6,9.27E-01,8.415,null,1.7,1.02E+00,1,0,0,0,0,0,-27,38,-4,36,dd00,0,011n,AAAU,0,29,29,29,29,14,14,0,14
280,3.400041,-86.582351,104.38859,19,J065733.02,190000.2,104.3875929,19.0000563,0.4055,0.4455,0.0634,17.035,0.143,7.6,1.18E+00,16.486,0.281,3.9,1.09E+00,12.287,null,0.2,9.29E-01,8.944,null,-0.2,8.94E-01,2,1,0,0,0,0,1340,1498,-1354,1620,0,0,nnnn,BBUU,0,7,23,1,23,0,12,0,12
286,9.712575,174.722554,182.77446,-56,J121105.97,-560009.6,182.7749038,-56.0026865,0.0414,0.0418,-0.01,12.601,0.023,46.7,1.38E+00,12.653,0.024,45.8,1.08E+00,12.796,0.452,2.4,1.05E+00,9.506,null,-0.9,9.04E-01,1,0,0,0,0,0,33,32,-52,33,0h00,0,21nn,AACU,11,52,52,51,51,2,31,0,31
288,9.860807,108.472035,283.25977,-48,J185303.27,-480003.1,283.2636527,-48.0008678,0.2278,0.2459,-0.0558,16.214,0.081,13.4,9.42E-01,16.622,0.324,3.4,8.80E-01,12.08,null,1.4,9.20E-01,9.142,null,-1.2,1.09E+00,1,0,0,0,0,0,97,867,-258,928,0,0,1nnn,ABUU,0,18,26,1,25,0,13,0,14
290,8.815156,-86.992141,294.62168,-65,J193827.81,-645959.5,294.615894,-64.9998714,0.1764,0.1849,-0.0553,16.396,0.063,17.4,1.01E+00,16.183,0.176,6.2,1.16E+00,12.709,null,-1,9.44E-01,8.936,null,0.2,9.02E-01,1,0,0,0,0,0,366,687,124,722,0,0,0nnn,ABUU,11,24,32,3,32,0,17,0,16
292,2.320783,-95.877391,319.5677,-75,J211815.65,-750000.2,319.5652223,-75.000066,0.1451,0.1431,-0.0425,16.309,0.051,21.1,1.26E+00,16.076,0.134,8.1,9.23E-01,12.681,0.495,2.2,9.42E-01,8.961,null,0.2,8.54E-01,1,0,0,0,0,0,1058,577,1185,572,0,0,0nnn,ABCU,0,29,38,1,38,0,15,0,16
293,3.410727,82.347542,359.11584,83,J235629.65,830000.4,359.123545,83.0001261,0.2003,0.1845,-0.0128,16.695,0.066,16.5,9.64E-01,16.723,0.219,5,8.61E-01,12.615,null,0.7,8.74E-01,8.801,null,1.1,1.11E+00,1,0,0,0,0,0,-1265,814,-290,757,0,0,0nnn,ABUU,0,24,49,0,49,0,21,0,21
293,8.071009,-155.577402,359.11584,83,J235625.97,825952.6,359.108236,82.9979586,0.2313,0.2082,0.0133,16.876,0.075,14.5,1.03E+00,16.871,0.245,4.4,8.19E-01,12.728,null,0.4,9.42E-01,9.353,null,-1.3,1.15E+00,1,0,0,0,0,0,8,1022,386,920,0,0,nnnn,ABUU,0,18,50,2,50,0,22,0,22
295,6.572267,110.190659,304.01162,-16,J201603.21,-160002.2,304.0134025,-16.0006301,0.0583,0.0581,-0.0107,13.743,0.027,39.7,9.56E-01,13.81,0.038,28.6,8.71E-01,12.29,null,0.2,9.77E-01,9.1,null,-0.4,1.08E+00,1,0,0,0,0,0,-133,106,-140,109,0,0,11nn,AAUU,0,26,26,26,26,0,14,0,14
